Location,Cases,Date
Tampines Street 41 (Blk    423),1,2017-02-21
Tampines Street 41 (Blk    424),1,2017-02-21
Bedok Reservoir Road (Blk 121),1,2017-02-21
Bedok Reservoir Road (Blk 133),1,2017-02-21
Choa Chu Kang Street 62 (Blk    607),1,2017-02-21
Choa Chu Kang Street 62 (Blk    615),1,2017-02-21
Dakota Crescent (Blk 60),1,2017-02-21
Old Airport Road (Blk 99),1,2017-02-21
Jalan Taman,1,2017-02-21
Saint Michael's Road (Sunville),1,2017-02-21
Old Choa Chu Kang Road,2,2017-02-21
Yishun Ring Road (Blk 110),1,2017-02-21
Yishun Ring Road (Blk 112),1,2017-02-21
Tampines Street 11 (Blk    101),4,2017-02-21
Tampines Street 11 (Blk    102),4,2017-02-21
Tampines Street 11 (Blk    103),2,2017-02-21
Tampines Street 11 (Blk    104),5,2017-02-21
Tampines Street 11 (Blk    107),2,2017-02-21
Tampines Street 11 (Blk    113),1,2017-02-21
Tampines Street 11 (Blk    138),1,2017-02-21
Tampines Street 11 (Blk    139),1,2017-02-21
Tampines Street 11 (Tampines Court),1,2017-02-21
Jalan Kemaman,2,2017-02-21
Jalan Kemaman (Kemaman Point),1,2017-02-21
Tampines Street 41 (Blk    421),1,2017-02-21
Tampines Street 41 (Blk    423),1,2017-02-21
Tampines Street 41 (Blk    424),1,2017-02-21
Bedok Reservoir Road (Blk 121),1,2017-02-21
Bedok Reservoir Road (Blk 133),1,2017-02-21
Choa Chu Kang Street 62 (Blk    607),1,2017-02-21
Choa Chu Kang Street 62 (Blk    615),1,2017-02-21
Dakota Crescent (Blk 60),1,2017-02-21
Old Airport Road (Blk 99),1,2017-02-21
Jalan Taman,1,2017-02-21
Saint Michael's Road (Sunville),1,2017-02-21
Old Choa Chu Kang Road,2,2017-02-21
Yishun Ring Road (Blk 110),1,2017-02-21
Yishun Ring Road (Blk 112),1,2017-02-21
Tampines Street 11 (Blk    101),4,2017-02-22
Tampines Street 11 (Blk    102),4,2017-02-22
Tampines Street 11 (Blk    103),2,2017-02-22
Tampines Street 11 (Blk    104),5,2017-02-22
Tampines Street 11 (Blk    107),2,2017-02-22
Tampines Street 11 (Blk 108),1,2017-02-22
Tampines Street 11 (Blk    113),1,2017-02-22
Tampines Street 11 (Blk    138),1,2017-02-22
Tampines Street 11 (Blk    139),1,2017-02-22
Tampines Street 11 (Tampines Court),1,2017-02-22
Jalan Kemaman,2,2017-02-22
Jalan Kemaman (Kemaman Point),1,2017-02-22
Tampines Street 41 (Blk    421),1,2017-02-22
Tampines Street 41 (Blk    423),1,2017-02-22
Tampines Street 41 (Blk    424),1,2017-02-22
Bedok Reservoir Road (Blk 121),1,2017-02-22
Bedok Reservoir Road (Blk 133),1,2017-02-22
Choa Chu Kang Street 62 (Blk    607),1,2017-02-22
Choa Chu Kang Street 62 (Blk    615),1,2017-02-22
Jalan Taman,1,2017-02-22
Saint Michael's Road (Sunville),1,2017-02-22
Old Choa Chu Kang Road,2,2017-02-22
Yishun Ring Road (Blk 110),1,2017-02-22
Yishun Ring Road (Blk 112),1,2017-02-22
Tampines Street 11 (Blk    101),4,2017-02-23
Tampines Street 11 (Blk    102),4,2017-02-23
Tampines Street 11 (Blk    103),2,2017-02-23
Tampines Street 11 (Blk    104),5,2017-02-23
Tampines Street 11 (Blk    107),2,2017-02-23
Tampines Street 11 (Blk    108),1,2017-02-23
Tampines Street 11 (Blk    113),1,2017-02-23
Tampines Street 11 (Blk    138),1,2017-02-23
Tampines Street 11 (Blk    139),1,2017-02-23
Tampines Street 11 (Tampines Court),1,2017-02-23
Jalan Kemaman,2,2017-02-23
Jalan Kemaman (Kemaman Point),2,2017-02-23
Bedok Reservoir Road (Blk 121),1,2017-02-23
Bedok Reservoir Road (Blk 133),2,2017-02-23
Tampines Street 41 (Blk    421),1,2017-02-23
Tampines Street 41 (Blk    423),1,2017-02-23
Tampines Street 41 (Blk    424),1,2017-02-23
Jalan Taman,1,2017-02-23
Saint Michael's Road (Sunville),1,2017-02-23
Old Choa Chu Kang Road,2,2017-02-23
Yishun Ring Road (Blk 110),1,2017-02-23
Yishun Ring Road (Blk 112),1,2017-02-23
